sentence,label
是在当地医院检查的。我现在想咨询的就是血糖饭后11.6，能不能拔牙？,拔牙
有黄没做,无主题
你告诉我怎么止痛有点急,牙齿疼痛
我有一个智齿 牙痛会不会跟这个有关系。但是智齿不疼,牙齿疼痛
你好！我是想问一下隐形牙套大概要多少费用,隐形矫正
就是牙齿旁边的肉一些发炎了,牙周治疗
你能不能给我补一下？,补牙
能先申请免费种植费用等他成年再种植吗,牙齿种植
没有，只开了消炎药,无主题
血糖高牙龈肿痛怎么办,牙周治疗
只换了一颗上门牙，其它还没换,无主题
嗯嗯，大概费用多少呢,无主题
哦，先用临时牙冠，后面再装，对吧,烤瓷牙
什么牙结石,洁牙
我长了四颗智齿 ?之前拍过片子 ?医生说位置挺正 的,智齿
怎么能快速止痛，我在垫江,牙齿疼痛
一边大牙没有了要种几棵才能做牙套,牙齿种植
查过，就是发炎所致,牙齿炎症治疗
就是问一下 有什么办法能减轻疼痛,牙齿疼痛
你好，请问种一颗牙大概多少钱，最低价多少中等多少,牙齿种植
我想了解咨询一下目前最好的洗牙是什么价位,洁牙
牙龈肉老是长泡,牙周治疗
掉了10左右牙齿需要多少钱,补牙
大约需要多长时间？多少钱？,无主题
种植牙一颗多少钱？对中老年优惠吗,牙齿种植
闭陈秀19197566523,无主题
这个时间矫正费用给矫正时间久吗,牙齿矫正
治疗牙周病可以走医保吗？,牙周治疗
这个口腔溃疡有法治愈的嘛,口腔溃疡
我想问下，我的牙齿被虫蛀了，有一半掉了，这个怎么治疗？,龋齿治疗
牙齿矫正要多少钱？,牙齿矫正
这三种有什么差别吗,无主题
一刷牙就流血,牙周治疗
又点松动,牙齿松动
不会痛，在??面,无主题
是的，发炎,牙齿炎症治疗
能补好吗？,补牙
我需要几点到？,无主题
最近是右侧咀嚼牙齿在吃东西的时候疼,无主题
在问下，娃儿的剪舌头下面那根经的手术,无主题
吃冷吃热甚至喝风都痛,牙齿脱敏
老人做一套假牙需要多少钱？,补牙
问一下拔智齿的价格大概多少,拔牙
那院内的隐形牙套试戴是什么，就是戴一下，就拿下来嘛,隐形矫正
我儿子经常口腔溃疡,口腔溃疡
参加活动洁牙，需要预约？,洁牙
我时间变化很大，,无主题
牙缝大，牙齿还有一点凸出来,牙齿矫正
治疗牙髓炎大概需要多少费用,根管治疗
我是在工地上工作的。只有下地下室就特疼,无主题
问下可以洗牙吗,洁牙
地包天，1岁,牙齿矫正
那做隐形的大概多少钱,隐形矫正
拔完会不会很痛,拔牙
这种情况到底是火牙或是虫牙,龋齿治疗
就是我家孩子14岁有一些虫牙，如果杀了牙神经的话还能再长出来吗,龋齿治疗
这种情况怎么治疗呢,无主题
那这个价格是多少呢,无主题
没有什么特别不好的,无主题
我之前在安装了颗假牙，然后把其他牙齿全部弄错位了,牙齿矫正
最里面一颗大牙疼怎么回事,牙齿疼痛
"我想咨询""有炎症能拔牙吗""",牙齿炎症治疗
你妈逼黑,无主题
智齿怎么治,智齿
小牙掉了能种吗,牙齿种植
就像起泡的那种,口腔溃疡
嗯！当感觉肚子不舒服，似乎像有火一样时，舌胎就不舒服了，伴随有口腔溃疡,口腔溃疡
你们医院根管治疗多少钱,根管治疗
44岁疼2天了,牙齿疼痛
你们那里那个费用高不高？,无主题
医生拨牙一般多少钱我有一颗自己拨没按干净还有一点在上面,拔牙
如果不能保留采取怎么治疗,无主题
智齿牙疼怎么拔，拔了需要补上吗,拔牙
如果用隐形牙套大概需要多少费用,隐形矫正
请问还能种吗？,牙齿种植
刚发现长了一个智齿，很疼，长歪了，该怎么办，吃东西很疼,智齿冠周冲洗
是固定的，不是活动的假牙,无主题
治疗多以才能好，出现溃疡不规则，天肿块，需要怎么治疗,口腔溃疡
智齿除了拔掉有没有好点的办法可以让他不疼,智齿冠周冲洗
全瓷牙？是有银色金属的那种吗,全瓷牙
我就怕做这个贴面回来后期会影响,牙齿贴面
价格范围是多少,无主题
牙龈萎缩是什么样子,牙周治疗
今天清洁了一下保持器后突然带不上去了,无主题
但从来不会痛，没发炎过呀,无主题
全隐形压套多少钱大概,隐形矫正
医生说要给我带牙套,无主题
上颌智齿好拔吗,拔牙
那门牙歪了是所有牙齿都要移动吗,牙齿矫正
我有一个牙片,无主题
有点痛，溃疡面比较大,口腔溃疡
这个消炎了就好了。拔牙又怕痛,拔牙
请问拔个智齿需要多少钱,拔牙
一条牙齿一半变白,无主题
你好 请问拔一颗智齿需要多少钱,拔牙
这就是洗牙吗,洁牙
就是牙坏了,无主题
烤瓷牙能做大脑cT吗,烤瓷牙
你好地包天有骨性的还有什么,牙齿矫正
cT是不是免费的哦,无主题
补牙做牙套,烤瓷牙
平常吃了辣的第二天就长溃疡,口腔溃疡
只剩牙根了能做根管,根管治疗
能保持多久？刷牙都不受影响吗,无主题
贴面怎么收费,牙齿贴面
有经过以前看过,无主题
如果补的话怎么弄,补牙
全瓷牙一颗，怎么固定？,全瓷牙
洗牙可以变白马,洁牙
直接补牙吗,无主题
牙齿做个固定要多少钱,牙齿松动
是因为智齿吗,智齿
2021国产种植牙收费价目表,牙齿种植
都要补牙？,补牙
有点点黄，不是很白,牙齿美白
白天不怎么痛,无主题
我以前左边，有一个牙坏掉了。到现在还没弄掉。,无主题
请问补单颗牙多少钱,补牙
想问一下8岁孩子第一个磨牙会再换牙吗,无主题
左侧后边的牙,无主题
那小孩补用什么补呢？,补牙
我大牙旁边还有牙齿 那是智齿吗？,智齿
我也有一点地包天有可能是遗传,牙齿矫正
有裂纹，怎么办,补牙
全口牙齿咋修复,补牙
32，牙齿要拔，你跟我说正常在什么价格,拔牙
松动,牙齿松动
近几年黄的,牙齿美白
而且我现在没有口腔溃疡,无主题
什么材质补牙没粗糙感觉,补牙
牙齿不齐 18周岁,牙齿矫正
那现在这样的情况我不确定是否还在炎症中,无主题
我就想问下你们价格多少,无主题
之前拔智齿有拍片，但没给片子,无主题
牙齿缺了五六颗,补牙
估计没炎症,无主题
上面一颗下面一颗，一共要补两颗，都空了，有时候吃东西扯着牙龈神经疼,补牙
隐形矫正效果比起传统的怎么样,隐形矫正
一般牙科是不是都可以检查口腔问题包括口腔溃疡之类的,无主题
不是 之前是有一些龅牙才做的矫正,无主题
我刚吃了一块冰 没有又疼,无主题
智齒一定要拔除嗎？,智齿
之前智齿是在你们这里做的,无主题
我没牙齿图片,无主题
牙周炎吃什么消炎药最好,牙周治疗
我们是安铺的，想明天上去。大概多少钱,无主题
长智齿要拔吗,智齿
牙齿底部裂痕有什么症状,补牙
没有出血，有些松动,牙齿松动
下面一排里边长了一个智齿,智齿
我想问一下牙周炎要什么治,牙周治疗
我是先问一下种植要多少钱？,牙齿种植
我是之前这个牙拔掉啦，按啦一个，现在已经2年多啦，现在才痛,牙齿疼痛
口腔溃疡了用了要快要好了有舌头上长了怎么办,口腔溃疡
适合。美学树脂多少钱一颗,美牙冠
共三个人，两个洗牙，一个看智齿,智齿
是不是把牙齿里面的脏东西刷出来了,无主题
注牙疼,龋齿治疗
四环素牙可以洗得白吗？,牙齿贴面
上牙智齿,智齿
拔牙后可以马上种植牙吗？,牙齿种植
门牙左边第3个,无主题
我就是单纯的洗牙就好,洁牙
哦哦，多少钱啊？,无主题
听说拔牙不都要早上吗,拔牙
门牙就剩牙根,无主题
牙齿发炎怎么自辽,牙齿炎症治疗
全部牙齿都刮治要多长时间,牙周治疗
为什么老是溃疡,口腔溃疡
牙龈最里面松了,牙周治疗
智齿60岁以后需要拔了吗,智齿
有点凸吧,牙齿矫正
智齿那边。,无主题
那陪牙冠吗,烤瓷牙
横着长的，没有长出来,智齿
他叫我做 脱敏 是什么意思？谢谢,牙齿脱敏
你好，医生，我今天两颗牙齿之间突然出血，,牙周治疗
现在疼不能拔，不疼我就不记得要拔了,无主题
口腔溃疡，反复发作,口腔溃疡
快速止疼的方法,牙齿疼痛
前两天牙龈根部长了个口腔溃疡。这两天咽口水喉咙痛。也是口腔溃疡吧。,牙周治疗
我的是两颗破裂上半结掉了,补牙
拔掉多久能好,无主题
现在不是有隐形矫正的？,隐形矫正
拔智齿，第三天了，有点微痛，什么原因,无主题
想知道你们现在是怎么清理神经的，也是用小针？？,根管治疗
贺利氏进口钻石树脂补牙一颗多少钱,补牙
拔牙再戴牙套才更好看吧,烤瓷牙
我是用的开水加盐现在更痛,牙齿疼痛
牙齿敏感，也许是浅龋齿？,牙齿脱敏
着凉发炎会有点疼,牙齿炎症治疗
口腔出血是怎么回事？,牙周治疗
你好医生、是左边的坐牙,无主题
额，不是口腔溃疡,无主题
长智齿，很痛怎么办？,智齿冠周冲洗
牙冠是普通牙冠，还是全瓷,烤瓷牙
检查都做了 牙齿没问题,无主题
你说,无主题
就有一点龅牙,牙齿矫正
您好，想问一下咱们这边矫正牙齿的大概费用,牙齿矫正
暑期矫正有什么优惠,牙齿矫正
智齿横长会引起心疼吗,智齿
18350035911，费用大概是多少,无主题
我想咨询下，做个牙齿矫正大概需要多少钱,牙齿矫正
被磨小的,无主题
像我这样的情况多吗？持续几年牙龈出血的,牙周治疗
槽牙缺了两颗,补牙
后牙会不会全瓷受力不够啊,全瓷牙
种植牙费用高吗,牙齿种植
你那边拔一颗牙要多少钱,拔牙
五岁儿童虫牙,龋齿治疗
隐形的那种,隐形矫正
哦哦。那国产隐形矫正大概多少钱,隐形矫正
我之前和朋友在你们这拔了智齿 给我登记信息时候登记成我朋友的电话了,无主题
在口腔医院做的神经,无主题
牙龈肿了用什么可以消,牙周治疗
最近个把月吧好象松了,牙齿松动
你好请问种植牙痛吗,牙齿种植
你们那种植牙可以用医保吗？,牙齿种植
现在治好一颗蛀牙需要多少钱,龋齿治疗
我问一下洗牙结石痛吗,洁牙
我准备洗牙,洁牙
一般补牙多少钱呢？,补牙
还没有长牙齿出来啊，就是那块肉肿了一大块起来,牙周治疗
先给我说一个大概的价格吧,无主题
我是说把它取一下。,无主题
美加贴面啥价格啊,牙齿贴面
费用多少？是不是有不锈钢和隐形两种？,牙齿矫正
从小就有，牙齿不太好,无主题
价格怎定,无主题
那你们那边的话牙周炎怎么处理呀,牙周治疗
智牙有上面的吗,智齿
我大牙中间空了 然后又黑 这段时间又牙痛 请问可以拔掉,龋齿治疗
13岁男孩门牙长里面去了怎么办,牙齿矫正
出血量有多有少,牙周治疗
下面和上面大牙,无主题
烤瓷罐一颗多少钱,烤瓷牙
你们有没有像这样给人种植缺失牙齿，20多年的后大牙，有没有这种情况呢？成功了没有？,牙齿种植
牙痛,牙齿疼痛
第二颗大牙肉胞,牙周治疗
一次性可以同时拔几颗智齿呀,拔牙
补了牙，想保护一下,烤瓷牙
我妈妈和我都经常口腔溃疡,口腔溃疡
根管治疗之后再是怎么处理,无主题
镶一颗牙费用是多少?,补牙
那如果贴面是什么,牙齿贴面
上次去拔了牙，医生建议我做牙周治疗,牙周治疗
智齿需要多久才会全部长出来,智齿
含着冷水就不疼了,牙齿疼痛
300块钱就可以了吗,无主题
根管治疗费用大概多少？,根管治疗
我想咨询牙龈痛怎么办怎么止痛,牙周治疗
为什么我智齿拔牙就不疼,无主题
怎么个价格，分别,无主题
上门牙有一颗有点突  想矫正,牙齿矫正
少一颗牙,补牙
主要是补了也很容易掉,补牙
花多少钱才变白,牙齿美白
断了有4个月了,补牙
晚上就磨牙,无主题
哦，，这个疼痛会不会一直几天吧,牙齿疼痛
你家洗牙多少钱？,洁牙
掉了半边以后酸痛，是怎么回事，医生,牙齿疼痛
补牙后一年多了牙龈上还鼓了一个包,牙周治疗
早晨会吐出一点暗红色的口水,牙周治疗
一会一会的痛,牙齿疼痛
就一颗不齐,牙齿矫正
我做的烤瓷牙里面发黑什么原因,龋齿治疗
洁牙用不了医保？,洁牙
上牙，吃东西经常用的大牙，一边一颗,无主题
智齿发炎,智齿冠周冲洗
牙齿遇热即痛。,牙齿脱敏
你好，一般校正牙齿的年龄在什么时候？,牙齿矫正
不是固定价位的吗,无主题
我左上第一棵大牙現在不能嚼东西大約一年前就出現问題当时是花椒和辣椒子就痛得很到現在完全不能嚼東西了,无主题
1沒有出过血.。,无主题
但是我现在已经在窟牙齿了 医生叫我拔4颗,拔牙
上口腔第二颗大牙有一个黑色的洞  有时候就会很痛  这是什么原因,龋齿治疗
牙齿松动怎么办啊,牙齿松动
时代基础款和冠军款价格各多少,无主题
智齿拔牙要多少钱？,拔牙
我在打针消炎，喉咙和淋巴发炎了,无主题
哺乳期蛀牙痛怎么办,龋齿治疗
牙疼能抽烟吗？,牙齿疼痛
一颗一般价格的牙套多少钱？,烤瓷牙
价格多少，七天的,无主题
拔出大概多少钱呢,拔牙
你好我经常口腔溃疡是怎么回事、怎么治疗法,口腔溃疡
智齿蛀了一半，而且有点深，但不痛，想生二胎，请问该怎么处理这牙齿呢,智齿
两个门牙用全瓷牙包起来大约多钱,全瓷牙
智齿还没有拔，,智齿
洗牙都包括几方面呀,洁牙
这种拔会很疼吧,拔牙
现在很痛了,牙齿疼痛
我问一下是吃药好一些还是打针好一些,无主题
已经掉了好几年了,补牙
但我的智齿还没长出来,智齿
嗯，发炎了，智齿长到肉了,智齿冠周冲洗
微创拔智齿大概多少费用,拔牙
只剩下一点点了,无主题
口腔溃疡怎么办？,口腔溃疡
儿童牙齿涂氟和窝沟封闭各多少钱,涂氟防龋
牙齿包套多少钱一个,牙齿矫正
下智齿拔了，上智齿也要拔的吗,智齿
矫正牙齿能改变歪脸吗,牙齿矫正
有两颗都是裂缝,补牙
没有疼痛，就是以前补过，只是好久了快掉了,无主题
牙齿松动轻微疼痛怎么回事,牙齿松动
种植的费用,牙齿种植
边上3颗牙齿没了,补牙
搭桥可用全瓷牙吗,烤瓷牙
我内牙有颗很松了还经常发炎，想拨掉换个牙齿，请问要多少钱？,拔牙
您好，可以加个微信聊聊吗,无主题
最近牙齿一遇热就疼,牙齿脱敏
美国的那个全瓷牙多少钱,全瓷牙
我想问下你们这拔智齿要多少钱,拔牙
请问3M纳米树脂补牙一颗要多少钱？,补牙
现在痛连耳朵还有头都疼,牙齿疼痛
假牙松了能固定不,补牙
你好 你们这边根管治疗费用大概多少,根管治疗
我长了智齿,智齿
补牙要多少啊,补牙
出现干槽症怎么缓解症状,无主题
大牙发炎，以前补过,牙齿炎症治疗
这种周期大概多长啊,无主题
完整的牙,无主题
我这个智齿已经顶出来了,智齿
炎症好的差不多了,无主题
我的意思是我目前处于实习状态，不好请假,无主题
成人矫正大概价位是,牙齿矫正
牙周炎是什么意思,牙周治疗
您好、小孩子长虫牙怎么办,龋齿治疗
补一颗需要多少钱呀,补牙
牙床发黑,牙周治疗
缺失三年多了，牙根还有少量残留,补牙
这种喝饮料的能洗掉么,洁牙
你好，我想咨询以后牙齿矫正期间牙齿会松动嘛,无主题
医生说要拔掉，然后种植一颗,牙齿种植
仿生冠,烤瓷牙
现在怎么缓解疼痛啊,牙齿疼痛
就是牙齿空了,龋齿治疗
全瓷的就是有点贵,全瓷牙
经常长溃疡，一次长好几个，好了又长，舌头上都长是什么原因呢,口腔溃疡
我大牙最里面看发炎痛什么情况？,牙齿炎症治疗
做活动牙,补牙
牙齿必须得拍片吗,无主题
去看了医生说是牙周炎,牙周治疗
右下方在长智齿，很疼,智齿冠周冲洗
这几天就是痛,牙齿疼痛
牙齿过敏怎么办,牙齿脱敏
怎么先止痛,牙齿疼痛
牙齿上有点裂纹，而且有白斑吧,补牙
牙齿咬合平的需要矫正吗？,无主题
每天早晚刷牙牙齿就出血是什么原因,牙周治疗
吃了药还是没有好,无主题
摔跤摔掉了！,补牙
矫正最佳年龄？,牙齿矫正
你好 牙周炎引起牙齿松动怎么治疗,牙齿松动
枯完牙齿之后很痛是什么回事,牙齿疼痛
虫牙有洞还可以矫正,龋齿治疗
是不是牙结石呀,洁牙
我拔牙，智齿，在是牙齿烂了,拔牙
保和汉水湾,无主题
小孩恒牙轻微蛀牙，补一颗收费多少,龋齿治疗
想问下小孩牙龈老会肿是什么问题,牙周治疗
蛀牙补牙多少钱左右,龋齿治疗
昨天开电瓶车摔了牙齿磕地上了,无主题
但是前不久去医院看了，说伤到牙根了,根管治疗
有没有美白牙膏,无主题
给牙做手术疼吗,无主题
都是吃点消炎药,无主题
上排的最后颗大牙,无主题
普通洗牙一套多少钱？,洁牙
大牙齒,无主题
这段时间牙齿老是出血，不知道是为什么。,牙周治疗
具，最低价位呢？,无主题
你们医院检查，加拔牙大概多少钱,拔牙
请问树脂嵌体补牙多少钱一颗？,补牙
下颚拥挤,牙齿矫正
牙齿出现了洞洞，不能吃冰的很痛,龋齿治疗
不需要吧！我只要用最简单的方法，之前好似用姜什么的忘记了,无主题
牙周炎:,牙周治疗
还龋齿,龋齿治疗
牙齿不痛就经常发炎，里面的东西不容易清洗，不注意就发炎了,牙齿炎症治疗
智牙发炎能不能拔,智齿冠周冲洗
补了需要做套子吗,补牙
我的牙齿是暴牙两颗。,牙齿矫正
"我想咨询""芽庄牙套""",烤瓷牙
有什么临时解决的办法吗？,无主题
你好我的唇部发炎红肿一个月了,无主题
下面智齿是横着长的两颗，在牙床里，还没有长岀来,智齿
门牙多少钱一个,无主题
洗牙，多久洗一次,洁牙
但是那样会等我自己的牙齿会有影响啊,无主题
消炎药会引起发炎,牙齿炎症治疗
喝稍微冷一点的水就牙龈酸痛,牙齿脱敏
这个牙齿是吧以前那一颗拔了然后吧这一颗补上去吗,拔牙
现在牙冠很高,烤瓷牙
溃疡5年了，就是因溃疡才检查得了MDs,口腔溃疡
牙齿矫正对后期牙龈牙齿伤害是不是特别大,牙齿矫正
就如果现在疼了有什么止疼办法吗,牙齿疼痛
拔智齿大概几天能好？,拔牙
就是两颗门牙长短不齐,牙齿矫正
智齿疼痛怎么缓解,智齿冠周冲洗
免挂号面诊免费,无主题
上面的有点突出,牙齿矫正
价钱各多少？,无主题
了解一下贴瓷双数是什么意思,牙齿贴面
拔上颚智齿多少钱,拔牙
左下那颗的疼痛,牙齿疼痛
他们说可以直接补。但是管不了多久,补牙
一般费用得多少？！,无主题
我说的这样一套下来，大概要多少钱？,无主题
它有时候疼有时候不疼,牙齿疼痛
做了半月是别的牙,无主题
我以前拔个2颗，还有两颗想一次性拔完,拔牙
种两颗牙大概多少钱,牙齿种植
吃了就会疼,无主题
脸也肿了,无主题
牙齿掉了一颗该怎么处理呢请问,补牙
牙好像跟管有炎症，一碰到很疼,根管治疗
我有原发性血小板减少症,无主题
就松动一点,牙齿松动
最高的智齿花销是多钱,智齿
牙齿破了需要拔掉吗,补牙
能告诉我吃什么消炎药吗,无主题
洗牙有免费或优惠的吗？,洁牙
就是有个黑色点,龋齿治疗
谢谢哈    叨扰你了    因为还是不了解  想先多问问   多查查,无主题
免费检查都有哪些,无主题
做隐形烤瓷牙大概要多少费用呢？,烤瓷牙
喝热水凉水牙疼是什么情况,牙齿脱敏
没有刚长出来的,无主题
我想问一下刷牙的时候牙齿会出血,牙周治疗
我90年的，过年才洗了一次牙齿，现在又在开始慢慢变成小黑点点了怎么回事,龋齿治疗
上面说的那些价格,无主题
不然就不会这么疼了,无主题
嗯，就您说的这种什么价钱呢？,无主题
舌侧价位一般在多少左右,牙齿矫正
上边的一颗门牙,无主题
蛀牙，里面都黑了,龋齿治疗
现在种植牙有几种材料？,牙齿种植
虫牙要拔掉 种植一颗牙要多少钱,牙齿种植
如果还有一根管道没有通，以后会有什么不良，，，，，，，？,根管治疗
下牙龈红肿,牙周治疗
牙龈里面黑,牙周治疗
说是发炎,牙齿炎症治疗
我的牙齿稀稀拉垃有二十几个,补牙
不知道呢。好像被虫吃了吧,龋齿治疗
贴面最便宜多少,牙齿贴面
我刚做了贴面 但是做完之后 我牙天天疼的不行,牙齿疼痛
两三点左右,无主题
我年龄26周岁，已经偏大了，周期应该比较长吧,无主题
长了一个智齿，这两天用了盐水淑口现在好多了,智齿
是牙套吗,无主题
我牙齿出血是怎么事,牙周治疗
面积大，牙疼的厉害,牙齿疼痛
有交代，就是在溃疡上到了针注射了药,无主题
拔智齿需要请注意什么,拔牙
牙龈都肿痛,牙周治疗
对牙齿有伤害吗,无主题
有什么缓解的办法,无主题
牙齿吃菜会疼,无主题
烤瓷牙是牙套么？,烤瓷牙
已经在吃药消炎了,无主题
两种价格相差大？,无主题
不管我自己去医院拿了止痛药和消炎药的,无主题
长寿洗牙大概多少钱,洁牙
有，一开始不怎么痛，后来不仅痛还酸,牙齿脱敏
不做手术  直接带牙套,牙齿矫正
右边有个洞,龋齿治疗
我现在治疗肯定是要治疗只是一个担心时间一个担心费用,无主题
六棵，有的有残根，有的没有？能用多久,无主题
怎样治牙疼？,牙齿疼痛
你好，我想问下你们拔牙（拔智齿）是怎么收费的呢？,拔牙
抽烟喝茶牙齿黄了,洁牙
我要先了解下你们是用什么材料,无主题
22岁，做手术牙龈骨切了一点可以植骨吗,牙齿种植
我智齿冠周炎疼的厉害，原本预约明早的,智齿冠周冲洗
左右横着的多少一颗,智齿
隐形牙套是什么意思？,隐形矫正
安一口牙需要多少钱，一般的,补牙
问他他又说是牙龈疼,牙周治疗
治疗牙周炎费用多少,牙周治疗
儿童五岁，门牙之前摔跤磕断了，今天突然发现牙龈上棉长了小牙齿,无主题
洗牙流血不,洁牙
一颗拔掉有1年，一颗想拔还未拔,拔牙
想补陶瓷牙,烤瓷牙
稍微硬一点的 肉? 比如牛肉? ?塞牙,无主题
我想问一下我的嘴里长了一个小肉疙瘩,口腔溃疡
你在哪，我补的牙破了怎么办？,补牙
这会很疼，能有什么偏方治一下,牙齿疼痛
50岁的女人为什么牙杆萎缩,牙周治疗
但是我现在好像还在有点出血，请问这个有问题吗？,牙周治疗
年龄大了，掉了,补牙
就是晚上睡觉的时候痛,牙齿疼痛
没有，但每年洁牙,无主题
我想问一下，一般拔智齿大概多少钱,拔牙
是摔掉了的,补牙
一直没有时间去拔,拔牙
就很小开始长口腔溃疡，每次都很大一个然后要一周才能好,口腔溃疡
黄牙齿用什么清洁才会变白,牙齿美白
牙齿是黄还有臭,牙齿美白
刚出月子可以去做牙吗,无主题
三十七，有三颗不在一个地方，就三个洞。,龋齿治疗
上牙，左边大牙倒数第三个,无主题
一般你们拔牙什么价位,拔牙
大概需要哪个价位,无主题
长口腔溃疡怎么回事啊,口腔溃疡
下门牙掉两颗,补牙
种植多少,牙齿种植
有包括去除牙石吗,洁牙
掉了一个要装三个,补牙
对于蛀牙，是上排后槽牙，可以怎么治疗，花费多少钱左右？,龋齿治疗
最里面的一个颗牙,无主题
我长期抽烟，牙齿很黄，怎么才能变白，这样让我很没自信,牙齿美白
没有用啊！解决不了问题，反正还是疼。,牙齿疼痛
左边下面大牙第一颗还有一颗智齿,智齿
最近牙龈总是出血,牙周治疗
拔一颗牙大概怎么收费,拔牙
现在又痛又肿，该怎么办,牙周治疗
牙齿有个黑洞晚上疼白天不痛是什么情况,龋齿治疗
已经掉了一颗了现在第二颗了,补牙
你这里瓷贴面多钱一颗,牙齿贴面
做隐形牙齿矫正要多少钱,隐形矫正
你好我想问一些半隐形矫正大概需要多少钱,隐形矫正
拔完智齿需要注意什么,拔牙
固定烤瓷牙是怎么样的,烤瓷牙
我的下边需要拔牙,拔牙
口腔溃疡散,无主题
应该一部分断在里边了,拔牙
刚长出来的，顶到嘴角后面的肉了,无主题
中间那个崩掉了半个，,补牙
洗牙一般多少钱一次,洁牙
我想换掉门牙,无主题
想问下登特这边隐适美收费大概在多少 是否支持分期付款,隐形矫正
补大概多少钱,补牙
下排牙齿咬住上排,牙齿矫正
10岁，下面的牙,无主题
你好！请问我智齿发炎了，嘴巴都张不开了，怎么办？？？,智齿冠周冲洗
你们医院加上检查费，拍片之类的。费用大楷要多少,无主题
那如果说做贴面的话最多能分多少期呀？,牙齿贴面
如果修补烤瓷牙的话需要多长时间呢,烤瓷牙
有点贵喲,无主题
智齿与牙龈中间塞有臭味,智齿
就补一般的就好,补牙
我想知道隐形牙套的价格,隐形矫正
平常这样出血是什么原因,牙周治疗
种植牙能用几年,牙齿种植
报名后到店真的是这个价吗，会不会有隐形消费,无主题
牙龈OK,无主题
离我前面的大牙还有距离,无主题
她的大牙都掉了,补牙
最强长溃疡,口腔溃疡
包括金属托槽的价钱吗,牙齿矫正
哦哦 就有价格区间是吗,无主题
您觉得会是什么问题,无主题
哪种最好,无主题
就是碎掉了,补牙
不知道是龋齿，还是蛀牙,龋齿治疗
我不知道怎么回事经常长溃疡反复长,口腔溃疡
以前是蛀牙，但是补过了，,无主题
牙齿没烂。,无主题
这种智齿拔除需要住院上手术台吗,拔牙
因为被撞缺了 现在还有疼痛,补牙
怎么个固定法,无主题
额 疼怎么办,牙齿疼痛
血压正常,无主题
去医院检查建议带隐形牙套,隐形矫正
双排牙（门牙）,拔牙
30了，上牙外凸,牙齿矫正
医生，您好，我27岁，最近嘴角生疮，口腔溃疡，吃点啥药好,口腔溃疡
最近才这样，平时都不会痛，只有接触食物才会痛,无主题
从昨天下午痛到现在，只有昨天晚上睡觉的时候好一点,牙齿疼痛
牙齿一阵一阵的痛是什么问题,牙齿疼痛
昨天第3牙齿，牙科医生说让我们去武大口腔，牙齿烂掉了,龋齿治疗
如果有HIV能不能种植,牙齿种植
用什么止疼,牙齿疼痛
智牙原来拔过了一次,无主题
一般情况大概费用得多少,无主题
我做牙坏掉了，打算安一颗,补牙
